Год,коэффициент_замещения,коэффициент_нагрузки,ест_прирост_‰,миграция_‰,доля_пенсионеров,опережение_зп,z_замещение,z_нагрузка,z_прирост,z_миграция,z_старение,z_финустой,ИПУ,Округ,медианная_зарплата,средняя_пенсия,родившиеся,умершие,миграция,население_всего,занятые,пенсионеры_всего
2006,0.1667039428464478,0.6276080925832809,-17.388361904847695,,0.3584992140643795,,-1.3538238766466137,1.2073401698846904,-0.33835022397275416,,0.9460172082930867,,,Дальневосточный,23777.06611095962,3963.730670017625,5722.0,75700.90680739787,,4024468.0430701454,2298836.8816745454,1442768.6304678589
2007,0.1605600512381567,0.6553217765646546,-19.093570242869284,,0.35999064083955,,-1.393712147634152,1.557339547885834,-0.6444646581371491,,0.966260609417225,,,Дальневосточный,26303.48148474601,4223.288334932726,6159.99,85968.63834038815,,4179870.360819167,2296145.5938570914,1504714.2098175331
2008,0.1810688763557979,0.6614189803460319,-16.188864333667368,,0.3499668382433724,,-1.260561755979367,1.6343418523236892,-0.12301963233991915,,0.8302057523355519,,,Дальневосточный,26292.09597024864,4760.680274371723,6816.0,75046.02422206584,,4214626.96924147,2230023.205607171,1474979.6748006844
2009,0.2157115892847242,0.6596795959318831,-15.48683199298444,,0.3736038929890919,-0.3145698397888958,-1.0356492723040784,1.6123749617628342,0.0030073333636344035,,1.151035704282818,-0.6525985228710929,,Дальневосточный,25442.35874302132,5488.211639609226,6530.0,74300.41125061591,,4376002.224426275,2478311.4058046406,1634891.4667745824
2010,0.197982700213865,0.6242173189059149,-17.859427370731296,0.0,0.3525100029064889,-0.2556148326091916,-1.1507513568871004,1.1645176898846168,-0.4229146348591382,0.0,0.8647245790438333,-0.16604415743521267,25.81262188448823,Дальневосточный,28847.106507476943,5711.228039707243,6561.0,86701.97,0.0,4487320.244731813,2534093.855782906,1581825.272512758
2011,0.2203463685234653,0.6352648974168768,-16.633348131749813,0.0,0.3451123613363472,-0.2368523362552854,-1.005558681188695,1.3040388596379489,-0.20281217341036173,0.0,0.7643150730794132,-0.011197691559272952,26.427627991254862,Дальневосточный,28708.0,6325.703547571642,6211.0,84413.99,0.0,4701578.382209519,2554167.283742545,1622572.8174922506
2012,0.2395746925196658,0.652122000580261,-15.89993359679812,0.0,0.3724884060078524,-0.1349350272327685,-0.8807217460511026,1.5169292002383163,-0.07115156023557546,0.0,1.1358950009067477,0.829923597209808,21.88731419556786,Дальневосточный,31033.348,7434.804804955786,6609.99,81822.98,0.0,4730396.485124073,2701975.772878637,1762017.8465290137
2013,0.2451273769524156,0.655200149488053,-14.264417046069644,0.0,0.3598011491769772,-0.269236854844985,-0.8446717966895422,1.5558035052150991,0.22245199091385115,0.0,0.9636886053476971,-0.27846640453438026,28.251408884883325,Дальневосточный,32616.048748,7995.086476149359,7340.98,78692.98,0.0,5002097.160336463,2746886.288091073,1799760.306583954
2014,0.2496563965889248,0.6159259479747817,-14.149899094168507,0.0,0.362439478132197,-0.1546017411075222,-0.8152678335198191,1.0598049901719484,0.24300994695138375,0.0,0.999499113933905,0.6676146442082045,27.916379755094862,Дальневосточный,33366.217869204,8330.089721026465,7235.0,78171.98999999999,0.0,5013250.591252253,2950029.8437074283,1816999.928039395
2015,0.3074008282097,0.6266213554159732,-13.971954316706924,0.0,0.3681832017810946,-0.2825624178595433,-0.4403709955934209,1.19487855002064,0.27495411685167903,0.0,1.077459697521752,-0.388441980262175,34.851492944224866,Дальневосточный,30973.258326299256,9521.20526185738,6904.99,78193.97,0.0,5102291.231710971,2997947.493927787,1878577.92211095
2016,0.3420517375706159,0.6229931749567709,-13.220067042014184,0.0,0.360050569071813,-0.3713294455077023,-0.21540529784451623,1.1490578318205558,0.40993090679338,0.0,0.9670740259821926,-1.1210342887887321,42.256133807176994,Дальневосточный,30630.18429050325,10477.10775867482,6534.0,77529.98999999999,0.0,5370319.966938926,3103704.5635824995,1933586.7601940804
2017,0.3683748386471634,0.6124285056935036,-12.532101885296084,0.0,0.3567486859545106,-0.4489629629174793,-0.04450661409222565,1.0156353798139404,0.5334325693045531,0.0,0.9222569786277013,-1.761741984485071,49.513077396050925,Дальневосточный,31502.28134467795,11604.647807363286,6135.0,74925.98999999999,0.0,5489182.152334116,3197530.0,1958258.5198101485
2018,0.3756605760238732,0.6445844440853404,-12.003673049603,0.0,0.3583345760991924,-0.248486203292918,0.002794914866074337,1.4217365117944496,0.6282946987156811,0.0,0.9437825478826459,-0.1072117379456403,37.561991335168436,Дальневосточный,34660.07745490459,13020.42466174152,6176.0,75004.98999999999,0.0,5733994.062948623,3187617.0,2054688.3319019808
2019,0.3814071708952055,0.6678587272408409,-12.074433070600543,0.0,0.3583029628151908,-0.1368134055801695,0.04010379791569862,1.7156701740719928,0.6155920492469044,0.0,0.9433534551510754,0.8144213824092505,30.69160213059539,Дальневосточный,36422.13214303784,13891.662378647392,5581.0,75940.0,0.0,5827105.884690664,3126214.0,2087869.3031224983
2020,0.3946289844016635,0.7001105765123228,-13.472918823558642,0.0,0.3578702333531672,-0.0854665944396761,0.12594438784091486,2.1229825758440555,0.36453963212676455,0.0,0.9374799411282532,1.2381854748376777,25.23568515867526,Дальневосточный,37777.26142916666,14908.002311268174,5426.99,86760.98,0.0,6036850.0,3085811.0,2160408.9182180674
2021,0.4462036825668969,0.7234188365114703,-15.4477411091189,0.0,0.3796061831106105,-0.2132689459762833,0.46078518056244255,2.41734533568044,0.010024824146824875,0.0,1.2325058566337193,0.1834355048552432,27.73583026779165,Дальневосточный,39363.90640919167,17564.32,4811.0,96050.97,0.0,5906363.225244659,3099300.0,2242092.0
2022,0.5221889959445968,0.7147174950880087,-12.725441079109146,0.0,0.3737784993803126,-0.3969623124832147,0.9541081368126041,2.3074550703503602,0.4987248350082548,0.0,1.153405667914398,-1.3325817708805718,43.328226404931456,Дальневосточный,39170.300712675606,20454.3,4500.0,79821.99,0.0,5919008.1924667545,3095486.0,2212398.0
2023,0.5173537592736331,0.6855387518246928,-11.500681567982683,0.0,0.3726959259096744,-0.3466395901999395,0.9227161066602481,1.9389532861819532,0.7185903824468292,0.0,1.1387117054770033,-0.9172694610556978,45.417217192532206,Дальневосточный,42108.073266126274,21784.77,4610.0,71474.98999999999,0.0,5814002.379315391,3160806.0,2166855.0
2024,0.4698944225918557,0.6750876005806079,-11.26884713893238,0.0,0.3667872332574206,-0.0625316624717831,0.614593665193851,1.8069644666051674,0.760208678279758,0.0,1.0585119682387145,1.4274669592065723,31.95046939585757,Дальневосточный,46360.98866600503,21784.77,4614.0,71186.54002647955,0.0,5907662.0,3209739.0,2166855.0
2025,0.5404678154088457,0.682040492626114,-10.942610378533011,0.0,0.3598779270230537,-0.0435430580979305,1.072780559864197,1.894773358879171,0.8187738278198686,0.0,0.9647307247205349,1.5841794895514663,34.86058081173966,Дальневосточный,48725.39908797128,26334.51,4040.0,68768.97819275095,0.0,5915314.166694168,3121209.111505021,2128791.0
2026,0.4989027862188027,0.6901166834144301,-10.920614064703644,-3.926265390585826e-06,0.3728280085330984,-0.1616618615962358,0.8029260029087991,1.9967685232329608,0.8227225471707202,-1.917420306846311e-06,1.1405044864381706,0.6093476265515689,36.10620428555939,Дальневосточный,,,,,,,,
2027,0.509397557110316,0.6929683428771725,-10.681770239933845,-4.765797623429435e-06,0.37374731081836177,-0.15257162222038811,0.8710616882304433,2.032782466341416,0.8655991509515194,-2.32741198885693e-06,1.1529823400108317,0.6843691703144954,36.174086716666125,Дальневосточный,,,,,,,,
2028,0.519225838879942,0.6957808735738034,-10.456881373731104,-5.605914580097959e-06,0.3746571474951188,-0.14333914817851484,0.9348702954720951,2.068302247655641,0.9059705979427978,-2.7376892250072348e-06,1.1653317151941625,0.7605645736184803,36.19014515654466,Дальневосточный,,,,,,,,
